Epoch,Train_Loss,Val_Loss,Loss_Diff,Val_minus_Train_Pct
1,5.621382,4.739814,-0.8815679999999997,-15.682406924133598
2,4.640968,4.494024,-0.1469440000000004,-3.166236009384258
3,3.141775,2.531413,-0.6103619999999998,-19.427298262924616
4,2.034928,1.756606,-0.27832199999999996,-13.677240668957328
5,1.763453,1.681953,-0.0814999999999999,-4.6216145255926815
6,1.635816,1.689463,0.053647,3.2795253255867407
7,1.608818,1.77726,0.16844199999999998,10.469922638856598
8,1.579539,1.554508,-0.025031000000000025,-1.584702878498095
9,1.455302,1.525831,0.07052899999999984,4.8463480432240065
10,1.377352,1.565812,0.18846000000000007,13.682776806509889
11,1.239597,1.193963,-0.04563399999999995,-3.681357731585342
12,1.237756,1.335838,0.098082,7.92417891733104
13,1.14427,1.290141,0.14587100000000008,12.747952843297483
14,1.11902,1.175309,0.05628900000000003,5.030205000804278
15,1.08191,1.302783,0.2208730000000001,20.415099222671028
16,1.108542,1.090172,-0.018369999999999997,-1.6571316197311423
17,1.032215,1.253855,0.22163999999999984,21.472270796297266
18,0.960815,1.245316,0.2845010000000001,29.610382852057903
19,0.854438,1.110253,0.2558149999999999,29.939562613086018
20,0.8472,1.193886,0.34668600000000005,40.921388101983005
21,0.795323,1.200118,0.404795,50.89693118393408
22,0.788602,1.303,0.5143979999999999,65.22910162540799
23,0.772537,1.231976,0.45943899999999993,59.47145573610065
24,0.712484,1.048609,0.3361249999999999,47.17649799855153
25,0.638292,1.336345,0.6980529999999999,109.36264280298045
26,0.7058,1.238721,0.532921,75.50595069424766
27,0.620135,1.29399,0.673855,108.66262991122902
28,0.620841,1.139508,0.518667,83.54264618477195
29,0.563816,1.186928,0.623112,110.5169062247258
30,0.529733,1.173846,0.6441129999999999,121.5920095595328
31,0.51571,1.062286,0.5465760000000001,105.98514669096974
32,0.51116,1.137728,0.6265680000000001,122.57766648407546
33,0.475493,1.0368,0.561307,118.04737398868122
34,0.506829,1.042565,0.535736,105.70350157548208
35,0.450654,1.181402,0.7307480000000001,162.1527824006888
36,0.435209,1.094218,0.659009,151.4235689059739
37,0.434388,1.102792,0.668404,153.87257474884203
38,0.390604,0.922002,0.531398,136.04520179004825
39,0.335767,0.993217,0.6574500000000001,195.80542459503172
40,0.380962,0.860859,0.479897,125.96978176301047
41,0.364205,1.009043,0.6448379999999999,177.0535824604275
42,0.34061,0.897886,0.5572759999999999,163.61116819823255
43,0.353744,1.267141,0.913397,258.208478447691
44,0.322586,0.925178,0.602592,186.80041911304275
45,0.279587,0.866956,0.587369,210.0845175204856
46,0.297539,1.001848,0.7043090000000001,236.71148992232952
47,0.276719,1.07643,0.7997110000000001,288.99750288198504
48,0.29187,0.949103,0.657233,225.1800459108507
49,0.238019,0.914982,0.676963,284.41552985265884
50,0.237842,1.033827,0.795985,334.6696546446801
51,0.240158,0.955592,0.715434,297.90138159045296
52,0.213601,0.8754,0.6617989999999999,309.8295419965262
