Epoch,Train_Loss,Val_Loss,Loss_Diff,Val_minus_Train_Pct
1,5.784656,4.685873,-1.098783,-18.994785515335742
2,4.496571,2.707484,-1.7890870000000003,-39.78780719797375
3,2.422441,2.123877,-0.2985640000000003,-12.324923496588783
4,1.966428,1.81731,-0.14911800000000008,-7.58319145170838
5,1.554612,1.456967,-0.0976450000000002,-6.280988439559208
6,1.418805,1.362258,-0.056547000000000125,-3.9855371245520086
7,1.277714,1.298375,0.02066100000000004,1.6170285369026278
8,1.214665,1.249479,0.0348139999999999,2.866140046844183
9,1.110848,1.358145,0.24729699999999988,22.26200164198881
10,1.068921,1.089922,0.021001000000000047,1.9646914973136507
11,0.994379,0.969758,-0.024621000000000004,-2.476017695466216
12,0.914909,1.019619,0.10471000000000008,11.444854078383761
13,0.85549,1.279109,0.4236190000000001,49.51770330453893
14,0.906427,0.936886,0.030459000000000014,3.3603367949101264
15,0.847944,1.11668,0.26873599999999986,31.692658949175872
16,0.840271,1.111132,0.270861,32.23495753155827
17,0.71731,1.021856,0.3045460000000001,42.456678423554685
18,0.69096,0.930061,0.239101,34.604173902975575
19,0.660132,0.874506,0.21437399999999995,32.47441420806747
20,0.681982,0.865002,0.18302000000000007,26.83648542043633
21,0.581613,0.939307,0.35769399999999996,61.50034473094651
22,0.602315,0.907642,0.3053269999999999,50.69224575180758
23,0.583929,0.887188,0.30325899999999995,51.93422488007958
24,0.582102,0.762731,0.18062900000000004,31.030472322720083
25,0.546965,0.858129,0.311164,56.889197663470235
26,0.484462,0.852186,0.367724,75.90357964092127
27,0.46228,0.831875,0.369595,79.95046292290387
28,0.470571,0.8539,0.383329,81.46039598700303
29,0.464223,0.779208,0.314985,67.8520883282388
30,0.460703,0.766925,0.306222,66.46841891630834
31,0.406237,0.769669,0.36343200000000003,89.46304743290247
32,0.374888,0.695175,0.320287,85.43538336783251
33,0.368813,0.794935,0.42612199999999995,115.53876896964042
34,0.366383,0.745576,0.379193,103.49634126037506
35,0.342851,0.63634,0.293489,85.60249204464913
36,0.292762,0.703026,0.410264,140.13567334558445
37,0.307796,0.670065,0.362269,117.697760854592
38,0.304014,0.595586,0.29157199999999994,95.90742531593938
39,0.284233,0.593621,0.30938799999999994,108.85013351721999
40,0.288902,0.586491,0.297589,103.00690199444796
41,0.257326,0.649366,0.39204,152.351491881893
42,0.248604,0.641207,0.392603,157.92304226802466
43,0.235933,0.724358,0.48842499999999994,207.01851796908443
44,0.219388,0.647842,0.428454,195.29509362408152
45,0.201614,0.645235,0.44362100000000004,220.0348190105846
46,0.207682,0.604847,0.397165,191.237083618224
47,0.192631,0.615096,0.422465,219.31309083169376
48,0.184276,0.5592,0.37492400000000004,203.45785669322106
49,0.185652,0.578715,0.39306299999999994,211.72031542886685
50,0.170927,0.65342,0.482493,282.28015468591855
51,0.190864,0.585558,0.394694,206.79331880291727
52,0.167721,0.562781,0.39505999999999997,235.54593640629372
53,0.159282,0.566565,0.40728299999999995,255.69932572418725
54,0.136705,0.647294,0.5105890000000001,373.49694597856706
55,0.142337,0.638133,0.49579599999999996,348.3254529742793
56,0.133442,0.671331,0.5378890000000001,403.0882330900316
57,0.138932,0.623081,0.484149,348.47911208360927
58,0.128788,0.6423,0.513512,398.72658943379815
59,0.129419,0.570138,0.440719,340.53655182005735
60,0.110748,0.629406,0.5186580000000001,468.3226785133818
