true_x,true_y,samples,mean_error_m,median_error_m,max_error_m
1.0,5.0,23,3.0781155,3.661028,4.018161
3.0,1.0,24,2.1515021,2.5130413,3.2049177
0.0,4.0,24,1.9955893,1.5386842,4.0638204
1.0,4.0,24,1.9128786,1.8498658,2.9969735
1.0,3.0,24,1.5175048,1.6215415,2.0125728
3.0,5.0,23,1.4707222,1.5036283,2.0769603
4.0,3.0,23,1.3498112,1.686992,1.8442262
1.0,6.0,24,1.2574134,0.730212,2.6823444
3.0,4.0,23,1.1669084,1.0867196,1.7831556
3.0,2.0,24,1.0045545,0.6179984,2.2033513
3.0,6.0,24,0.96396327,0.75354147,1.9124511
2.0,6.0,24,0.9295457,0.4290012,3.1455047
2.0,5.0,23,0.9107462,0.8934387,1.4430429
4.0,6.0,24,0.86266524,0.7853054,1.4281201
0.0,5.0,23,0.776438,0.84142226,1.0884604
1.0,2.0,24,0.70660084,0.7144874,0.8491958
1.0,1.0,24,0.6641235,0.58453417,1.4156709
2.0,3.0,23,0.6599428,0.6599385,0.9252352
0.0,6.0,24,0.62506163,0.4438318,1.1959113
4.0,5.0,24,0.6062339,0.48775345,1.2845976
2.0,1.0,24,0.5915444,0.6023654,0.8851264
0.0,3.0,24,0.58550626,0.5350982,0.85235995
4.0,4.0,24,0.5438837,0.46804866,1.1112871
3.0,3.0,24,0.489781,0.48939312,0.92648447
2.0,4.0,24,0.44123396,0.38125914,0.8151405
