elapsed_s,tag_hex_id,position_x,position_y,yaw_map
44.911,0x14,3.6204,8.1646,141.12
45.21,0x14,3.6133,8.1909,126.38
45.322,0x14,4.0079,7.9739,118.81
45.51,0x14,3.9923,7.9987,108.44
45.805,0x14,3.9766,8.0244,96.62
46.103,0x14,3.9619,8.0449,86.12
46.217,0x14,4.4532,8.1047,83.06
46.402,0x14,4.4221,8.1251,80.0
46.701,0x14,4.4018,8.1332,77.38
47.0,0x14,4.39,8.1277,74.25
47.301,0x14,4.3825,8.1074,72.75
47.6,0x14,4.3724,8.0938,73.31
47.83,0x14,4.8988,8.2184,76.69
47.894,0x14,4.8675,8.2103,76.94
48.194,0x14,4.8373,8.2049,76.62
48.495,0x14,4.8042,8.2093,76.94
48.795,0x14,4.765,8.2274,75.38
49.09,0x14,4.725,8.2461,74.12
49.39,0x14,4.6821,8.2639,78.5
49.622,0x14,4.9,8.3468,81.25
49.685,0x14,4.9,8.3702,82.19
49.986,0x14,4.9,8.3914,82.5
50.282,0x14,4.9,8.4157,84.38
50.585,0x14,4.9311,8.4415,88.25
50.881,0x14,4.8694,8.4634,99.75
51.178,0x14,4.8117,8.4807,119.62
51.477,0x14,4.7571,8.4963,144.69
51.775,0x14,4.7074,8.509,155.0
52.075,0x14,4.6621,8.5197,162.69
52.375,0x14,4.6273,8.5225,166.19
52.671,0x14,4.6001,8.5153,167.0
52.97,0x14,4.5786,8.4974,167.06
53.27,0x14,4.5576,8.4628,171.12
53.503,0x14,4.6387,7.9749,170.56
53.572,0x14,4.6134,7.9451,169.94
53.871,0x14,4.5938,7.9081,170.44
54.169,0x14,4.5688,7.8246,170.06
54.469,0x14,4.5441,7.7407,168.19
54.771,0x14,4.5246,7.6779,169.12
55.064,0x14,4.5047,7.6543,170.81
55.297,0x14,4.5931,7.1531,170.0
55.362,0x14,4.5713,7.1251,169.56
55.664,0x14,4.5487,7.0747,169.31
55.959,0x14,4.5303,7.0004,169.0
56.257,0x14,4.5113,6.9574,168.19
56.556,0x14,4.5008,6.9203,167.06
56.857,0x14,4.4953,6.9256,168.25
57.156,0x14,4.4885,6.9276,170.81
57.327,0x14,4.5718,6.4193,170.69
57.462,0x14,4.5648,6.4126,169.5
57.753,0x14,4.5552,6.3915,168.69
58.051,0x14,4.5409,6.3423,167.94
58.347,0x14,4.5201,6.2836,166.44
58.645,0x14,4.5065,6.2352,165.75
58.942,0x14,4.499,6.1899,168.12
59.057,0x14,4.6045,5.6986,167.88
59.241,0x14,4.594,5.6536,166.62
59.541,0x14,4.5721,5.608,165.69
59.835,0x14,4.5108,5.5621,165.62
60.133,0x14,4.4463,5.5359,165.12
60.433,0x14,4.3909,5.5103,162.94
60.732,0x14,4.3665,5.4897,163.0
61.032,0x14,4.344,5.4695,165.56
61.144,0x14,4.4617,5.0017,165.88
61.329,0x14,4.4272,4.9946,165.56
61.635,0x14,4.3939,4.9996,165.94
61.926,0x14,4.3674,5.0059,166.62
62.227,0x14,4.3436,5.008,167.88
62.526,0x14,4.4331,4.6021,164.5
62.824,0x14,4.4109,4.6106,161.88
63.123,0x14,4.3894,4.6149,160.88
63.424,0x14,4.364,4.6134,163.62
63.959,0x14,4.3403,4.6098,165.81
64.255,0x14,4.3183,4.6086,165.31
64.553,0x14,4.2984,4.6078,162.19
64.852,0x14,4.2821,4.6149,161.88
65.155,0x14,4.2642,4.62,165.0
65.448,0x14,4.3661,4.1333,165.44
65.745,0x14,4.3397,4.1478,164.31
66.044,0x14,4.3145,4.1738,164.5
66.342,0x14,4.2879,4.1921,162.75
66.516,0x14,4.4305,3.7501,162.12
66.64,0x14,4.3925,3.7871,162.56
66.938,0x14,4.3479,3.7955,163.94
67.236,0x14,4.3031,3.7794,165.94
67.291,0x14,4.4327,3.2694,165.75
67.534,0x14,4.3852,3.2201,164.5
67.832,0x14,4.3415,3.1534,164.88
68.129,0x14,4.3049,3.0822,165.19
68.427,0x14,4.2732,3.0002,163.06
68.482,0x14,4.3926,2.6084,163.06
68.725,0x14,4.3586,2.534,160.62
