epoch,train_loss,val_loss,is_best
1,5.784656,4.685873,1
2,4.496571,2.707484,1
3,2.422441,2.123877,1
4,1.966428,1.817310,1
5,1.554612,1.456967,1
6,1.418805,1.362258,1
7,1.277714,1.298375,1
8,1.214665,1.249479,1
9,1.110848,1.358145,0
10,1.068921,1.089922,1
11,0.994379,0.969758,1
12,0.914909,1.019619,0
13,0.855490,1.279109,0
14,0.906427,0.936886,1
15,0.847944,1.116680,0
16,0.840271,1.111132,0
17,0.717310,1.021856,0
18,0.690960,0.930061,1
19,0.660132,0.874506,1
20,0.681982,0.865002,1
21,0.581613,0.939307,0
22,0.602315,0.907642,0
23,0.583929,0.887188,0
24,0.582102,0.762731,1
25,0.546965,0.858129,0
26,0.484462,0.852186,0
27,0.462280,0.831875,0
28,0.470571,0.853900,0
29,0.464223,0.779208,0
30,0.460703,0.766925,0
31,0.406237,0.769669,0
32,0.374888,0.695175,1
33,0.368813,0.794935,0
34,0.366383,0.745576,0
35,0.342851,0.636340,1
36,0.292762,0.703026,0
37,0.307796,0.670065,0
38,0.304014,0.595586,1
39,0.284233,0.593621,1
40,0.288902,0.586491,1
41,0.257326,0.649366,0
42,0.248604,0.641207,0
43,0.235933,0.724358,0
44,0.219388,0.647842,0
45,0.201614,0.645235,0
46,0.207682,0.604847,0
47,0.192631,0.615096,0
48,0.184276,0.559200,1
49,0.185652,0.578715,0
50,0.170927,0.653420,0
51,0.190864,0.585558,0
52,0.167721,0.562781,0
53,0.159282,0.566565,0
54,0.136705,0.647294,0
55,0.142337,0.638133,0
56,0.133442,0.671331,0
57,0.138932,0.623081,0
58,0.128788,0.642300,0
59,0.129419,0.570138,0
60,0.110748,0.629406,0
